"","x"
"253",44.25547584865
"254",38.3263151117
"255",38.4363691393
"256",38.9040987566
"257",38.8765852497
"258",38.72526096175
"259",38.36758537205
"260",36.8956127529
"261",36.66174794425
"262",35.7125319562
"263",36.5104236563
"264",39.894585005
"265",39.74326071705
"266",39.0966933049
"267",40.70623345855
"268",47.36450212835
"269",47.14439407315
"270",46.1951780851
"271",47.85974525255
"272",54.7243652241
"273",54.4492301551
"274",53.30741961875
"275",52.9084737687
"276",51.2301498478
"277",52.6883657135
"278",58.78260749185
"279",59.22282360225
"280",61.079985318
"281",61.45141766115
"282",63.04720106135
"283",64.1890115977
"284",68.9488482914
"285",70.17319934845
"286",75.1669008508
"287",73.5711174506
"288",66.8303082601
"289",62.66201196475
"290",45.05336754875
"291",42.9485842709
"292",34.1717755698
"293",34.1992890767
"294",34.2818295974
"295",33.1812893214
"296",28.54526340875
"297",26.53677740505
"298",18.42029286955
"299",18.11764429365
"300",16.8382662228
"301",18.44780637645
"302",25.2849128411
"303",26.3029125964
"304",30.47120889175
"305",29.64580368475
"306",26.0828045412
"307",28.71034445015
"308",39.8120444843
"309",40.18347682745
"310",41.64169269315
"311",42.10942231045
"312",44.00785428655
"313",45.05336754875
"314",49.42801514585
"315",50.6523662029
"316",55.67358121215
"317",56.1000405691
"318",57.8884185176
"319",58.9889587936
"320",63.62498470625
"321",64.8768492702
"322",70.11817233465
"323",70.22822636225
"324",70.6821992261
"325",69.884307526
"326",66.51390293075
"327",64.2440386115
"328",54.8619327586
"329",53.69260871535
"330",48.7814477337
"331",47.8459884991
"332",43.92531376585
"333",42.16444932425
"334",34.81834298195
"335",35.1897753251
"336",36.71677495805
"337",35.34109961305
"338",29.5495064106
"339",29.72834420545
"340",30.4574521383
"341",29.0817767933
"342",23.2764268374
"343",22.40975137005
"344",18.7642117058
"345",19.85099522835
"346",24.39072386685
"347",23.6065889202
"348",20.34623835255
"349",19.98856276285
"350",18.5165901437
"351",18.5165901437
"352",18.53034689715
"353",19.46580613175
"354",23.40023761845
"355",24.58331841515
"356",29.4944793968
"357",30.44369538485
"358",34.4469106388
"359",34.8320997354
"360",36.4553966425
"361",36.74428846495
"362",37.968639522
"363",38.7665312221
"364",42.0406385432
"365",45.76871872815
"366",61.5477149353
"367",59.3741478902
"368",50.36347438045
"369",50.1296095718
"370",49.18039358375
"371",49.34547462515
"372",50.08833931145
"373",49.37298813205
"374",46.4152861403
"375",45.30098911085
"376",40.73374696545
"377",40.43109838955
"378",39.1242068118
"379",38.61520693415
"380",36.5379371632
"381",37.10196405465
"382",39.3993418808
"383",38.91785551005
"384",36.8956127529
"385",35.64374818895
"386",30.41618187795
"387",28.54526340875
"388",20.59385991465
"389",22.1758865614
"390",28.7241012036
"391",28.05002028455
"392",25.27115608765
"393",22.71239994595
"394",11.8858349808
"395",12.50488888605
"396",15.0498882743
"397",14.87105047945
"398",14.12818579315
"399",13.481618381
"400",10.8953487324
"401",10.8953487324
"402",10.9228622393
"403",11.37683510315
"404",13.2615103258
"405",13.77051020345
"406",15.9028069882
"407",17.5811309091
"408",24.7071291962
"409",22.76742695975
"410",14.7472396984
"411",17.9112929919
"412",30.82888448145
"413",31.92942475745
"414",36.5379371632
"415",37.6109639323
"416",42.08190880355
"417",40.444855143
"418",33.60774867835
"419",35.0522077906
"420",41.1326928155
"421",40.9125847603
"422",40.01839578605
"423",37.6659909461
"424",27.91245275005
"425",28.2013445725
"426",29.39818212265
"427",29.50823615025
"428",29.97596576755
"429",28.0362635311
"430",20.0573465301
"431",23.386480865
"432",37.143234315
"433",34.5569646664
"434",23.5790754133
"435",24.00553477025
"436",25.71137219805
"437",24.55580490825
"438",19.7271844473
"439",21.03407602505
"440",26.4955071447
"441",24.0192915237
"442",13.74299669655
"443",14.10067228625
"444",15.55888815195
"445",16.90704999005
"446",22.4785351373
"447",22.13461630105
"448",20.73142744915
"449",19.809724968
"450",16.0403745227
"451",14.9673477536
"452",10.5376731427
"453",10.30380833405
"454",9.3821058529
"455",10.00115975815
"456",12.53240239295
"457",17.2234553194
"458",36.41412638215
"459",34.57072141985
"460",27.00450702235
"461",28.5590201622
"462",34.9146402561
"463",33.33261360935
"464",26.92196650165
"465",28.063777038
"466",32.7685867179
"467",30.7876142211
"468",22.5885891649
"469",24.6245886755
"470",32.9336677593
"471",39.7019904567
"472",67.7382539878
"473",60.2270666041
"474",29.0817767933
"475",28.07753379145
"476",23.8817239892
"477",22.8637242339
"478",18.6816711851
"479",22.2034000683
"480",36.8405857391
"481",37.84482874095
"482",42.1782060777
"483",37.7210179599
"484",19.2319413231
"485",17.4985903884
"486",10.41386236165
"487",10.0974570323
"488",8.76305194765
"489",9.23078156495
"490",11.15672704795
"491",11.59694315835
"492",13.35780759995
"493",14.0594020259
"494",17.07213103145
"495",17.0033472642
"496",16.71445544175
"497",17.2234553194
"498",19.2869683369
"499",19.4520493783
"500",20.15364380425
"501",19.98856276285
"502",19.3419953507
"503",17.73245519705
"504",11.21175406175
"505",10.3450785944
"506",6.80959295775
"507",6.5482146422
"508",5.4751878731
"509",8.90061948215
"510",22.8912377408
"511",24.47326438755
"512",31.0352357832
"513",30.80137097455
"514",29.8521549865
"515",32.3833976213
"516",42.7559897226
"517",43.07239505195
"518",44.3792866297
"519",46.0300970437
"520",52.75714948075
"521",57.9159320245
"522",78.9912783099
"523",79.66535922895
"524",82.4304666724
"525",80.05054832555
"526",70.3520371433
"527",69.334037388
"528",65.1519843392
"529",64.14774133735
"530",59.96568828855
"531",58.12228332625
"532",50.63860944945
"533",49.53806917345
"534",44.99834053495
"535",43.84277324515
"536",39.069179798
"537",36.68926145115
"538",27.0457772827
"539",27.9537230104
"540",31.640532935
"541",31.1452898108
"542",29.1368038071
"543",28.76537146395
"544",27.238371831
"545",27.80239872245
"546",30.08601979515
"547",35.06596454405
"548",55.72860822595
"549",53.94023027745
"550",46.8004752369
"551",49.5793394338
"552",60.9149042766
"553",60.04822880925
"554",56.49898641915
"555",58.14979683315
"556",64.78055199605
"557",63.10222807515
"558",56.2926351174
"559",56.7328512278
"560",58.4937156694
"561",60.5847421938
"562",68.9763617983
"563",71.0123613089
"564",79.33519714615
"565",77.02406256655
"566",67.55941619295
"567",62.730795732
"568",43.3612868744
"569",41.03639554135
"570",31.70931670225
"571",41.4628548983
"572",81.31616964295
"573",79.6791159824
"574",73.0758743264
"575",69.56790219665
"576",55.4397164035
"577",53.5137709205
"578",45.3697728781
"579",45.74120522125
"580",47.2406913473
"581",47.5708534301
"582",48.90525851475
"583",45.397286385
"584",30.8976682487
"585",29.7696144658
"586",25.1748588135
"587",26.137831555
"588",29.97596576755
"589",29.439452383
"590",27.238371831
"591",25.3674533618
"592",17.73245519705
"593",18.72294144545
"594",22.7536702063
"595",25.51877764975
"596",36.82682898565
"597",37.78980172715
"598",41.6829629535
"599",46.0300970437
"600",63.4736604183
"601",60.24082335755
"602",47.00682653865
"603",42.98985453125
"604",26.31666934985
"605",24.28066983925
"606",15.94407724855
"607",15.4625908778
"608",13.5091318879
"609",13.57791565515
"610",13.88056423105
"611",16.50810414
"612",27.1833448172
"613",31.68180319535
"614",49.97828528385
"615",52.7158792204
"616",63.8863630218
"617",66.3900921497
"618",76.41876541475
"619",75.8272250164
"620",73.41979316265
"621",72.7181987367
"622",69.87055077255
"623",66.9128487808
"624",55.04077055345
"625",53.1285818239
"626",45.21844859015
"627",43.7189624641
"628",37.65223419265
"629",36.55169391665
"630",32.0532355385
"631",31.54423566085
"632",29.50823615025
"633",29.50823615025
"634",29.4944793968
"635",28.6965876967
"636",25.4775073894
"637",23.48277813915
"638",15.4901043847
"639",19.7271844473
