"","x"
"385",16.961850528
"386",16.9426159616
"387",17.3850109888
"388",17.8648628032
"389",18.4408874496
"390",18.9986898752
"391",18.7678750784
"392",18.4985911488
"393",17.6340480064
"394",16.8849122624
"395",16.1934802176
"396",15.655924704
"397",15.5982210048
"398",15.3097025088
"399",16.2704184832
"400",17.903331936
"401",18.460122016
"402",18.2870109184
"403",18.0379739008
"404",17.6532825728
"405",17.0195542272
"406",17.3273072896
"407",17.4234801216
"408",17.3080727232
"409",17.710986272
"410",17.3080727232
"411",18.3447146176
"412",18.9794553088
"413",18.9986898752
"414",18.7678750784
"415",18.3254800512
"416",18.0379739008
"417",17.2118998912
"418",16.5589369792
"419",15.752097536
"420",15.5020481728
"421",14.9644926592
"422",13.8883692864
"423",15.0221963584
"424",16.02036912
"425",17.5378751744
"426",17.9418010688
"427",17.903331936
"428",17.7302208384
"429",17.1157270592
"430",16.0588382528
"431",15.1183691904
"432",14.8875543936
"433",14.5605667648
"434",14.522097632
"435",14.9452580928
"436",16.1550110848
"437",16.9041468288
"438",17.0003196608
"439",17.442714688
"440",16.7128135104
"441",15.9818999872
"442",15.1760728896
"443",14.253826048
"444",14.5028630656
"445",14.6759741632
"446",13.676789056
"447",13.8306655872
"448",14.2153569152
"449",14.4451593664
"450",14.6567395968
"451",15.1568383232
"452",15.1568383232
"453",14.7529124288
"454",13.9460729856
"455",13.1777026752
"456",12.75555456
"457",12.4478014976
"458",13.2931100736
"459",14.1384186496
"460",15.2135296768
"461",16.0396036864
"462",15.9636777664
"463",15.4251099072
"464",14.9837272256
"465",14.3115297472
"466",14.061480384
"467",13.5816285696
"468",14.0422458176
"469",14.6567395968
"470",14.90678896
"471",14.9452580928
"472",16.0011345536
"473",16.769504864
"474",17.3080727232
"475",17.5196529536
"476",17.4234801216
"477",16.9233813952
"478",15.9818999872
"479",14.9837272256
"480",14.4066902336
"481",14.1384186496
"482",14.1768877824
"483",15.5020481728
"484",16.5589369792
"485",17.9610356352
"486",17.8263936704
"487",17.4619492544
"488",17.2888381568
"489",16.7128135104
"490",15.655924704
"491",14.8875543936
"492",14.3884680128
"493",13.8306655872
"494",14.0999495168
"495",14.6952087296
"496",15.367406208
"497",15.5405173056
"498",15.7713321024
"499",15.6366901376
"500",15.3866407744
"501",14.90678896
"502",14.5605667648
"503",14.4066902336
"504",13.9460729856
"505",13.31234464
"506",12.8699496128
"507",13.4469866048
"508",14.6567395968
"509",15.0414309248
"510",14.9644926592
"511",14.4836284992
"512",14.1961223488
"513",13.6960236224
"514",13.0815298432
"515",12.563208896
"516",12.0833570816
"517",11.9294805504
"518",12.1400484352
"519",12.7747891264
"520",13.8306655872
"521",14.4066902336
"522",14.2730606144
"523",14.0037766848
"524",13.5816285696
"525",13.0815298432
"526",12.1218262144
"527",11.6024929216
"528",11.5640237888
"529",12.006418816
"530",12.3131595328
"531",13.3892829056
"532",14.1384186496
"533",14.714443296
"534",14.6952087296
"535",14.4066902336
"536",14.1384186496
"537",13.9076038528
"538",13.3892829056
"539",13.1584681088
"540",13.2931100736
"541",13.86913472
"542",13.9845421184
"543",14.5605667648
"544",15.2327642432
"545",15.8867395008
"546",16.0396036864
